Symbol
^NSEI
TCS.NS
INFY.NS
RELIANCE.NS
SBIN.NS
HDFCBANK.NS
ICICIBANK.NS
AXISBANK.NS
ITC.NS
LT.NS
BHARTIARTL.NS
MARUTI.NS
SUNPHARMA.NS
TATAMOTORS.NS
TATASTEEL.NS
M&M.NS
ADANIENT.NS
VEDL.NS
